Project Name,Start Date,End Date,Budgeted Cost,Actual Cost,Team Size,Project Duration,Cost Overrun
Project A,2023-01-01,2023-05-13,8561,7779,5,132,0.9086555308959233
Project B,2023-01-08,2023-05-10,31854,39542,11,122,1.241351164688893
Project C,2023-01-15,2023-02-28,43952,47910,6,44,1.0900527848562067
Project D,2023-01-22,2023-06-07,27662,27051,3,136,0.977911936953221
Project E,2023-01-29,2023-05-10,13392,10719,6,101,0.8004032258064516
Project F,2023-02-05,2023-03-27,35535,38539,3,50,1.0845363725904038
Project G,2023-02-12,2023-06-24,18067,15998,7,132,0.8854818176786406
Project H,2023-02-19,2023-07-20,28599,31376,6,151,1.0971012972481555
Project I,2023-02-26,2023-06-10,40222,35419,10,104,0.8805877380538014
Project J,2023-03-05,2023-06-30,16837,18962,10,117,1.1262101324463978
Project K,2023-03-12,2023-08-05,19039,15969,9,146,0.8387520352959714
Project L,2023-03-19,2023-07-26,35818,42592,5,129,1.189122787425317
Project M,2023-03-26,2023-08-06,24115,25402,3,133,1.0533692722371968
Project N,2023-04-02,2023-09-30,15965,19765,3,181,1.2380206702160976
Project O,2023-04-09,2023-09-16,29538,36002,14,160,1.2188367526575936
Project P,2023-04-16,2023-10-12,47530,51869,13,179,1.091289711760993
Project Q,2023-04-23,2023-07-14,10056,9338,5,82,0.9285998408910103
Project R,2023-04-30,2023-05-31,37482,44071,8,31,1.1757910463689238
Project S,2023-05-07,2023-09-01,13110,10621,9,117,0.8101449275362319
Project T,2023-05-14,2023-11-17,18773,23759,8,187,1.2655942044425506
Project U,2023-05-21,2023-07-27,32266,27925,8,67,0.8654620963243043
Project V,2023-05-28,2023-11-03,22412,20223,8,159,0.9023291094056756
Project W,2023-06-04,2023-07-24,38270,40368,5,50,1.0548210086229421
Project X,2023-06-11,2023-12-18,11910,21153,8,190,1.7760705289672545
Project Y,2023-06-18,2023-09-13,30446,31992,10,87,1.050778427379623
Project Z,2023-06-25,2023-08-15,5206,9767,13,51,1.8761044948136765
Project [,2023-07-02,2023-10-28,26518,23504,13,118,0.8863413530432159
Project \,2023-07-09,2023-09-25,27361,36183,4,78,1.3224297357552721
Project ],2023-07-16,2023-10-12,28419,31757,7,88,1.1174566311270628
Project ^,2023-07-23,2024-02-07,46523,52934,3,199,1.1378028072136364
Project _,2023-07-30,2023-09-12,27403,25314,14,44,0.9237674707148852
Project `,2023-08-06,2023-10-25,23141,19875,3,80,0.8588652175791884
Project a,2023-08-13,2023-12-28,19820,16663,7,137,0.8407164480322906
Project b,2023-08-20,2023-11-12,45342,49022,14,84,1.0811609545234
Project c,2023-08-27,2023-11-28,11374,9350,5,93,0.8220502901353965
Project d,2023-09-03,2024-02-10,6678,3637,6,160,0.5446241389637616
Project e,2023-09-10,2023-11-29,38827,39586,5,80,1.0195482525047004
Project f,2023-09-17,2024-02-28,21198,22892,3,164,1.07991319935843
Project g,2023-09-24,2023-11-13,14914,12299,3,50,0.8246613919806893
Project h,2023-10-01,2024-01-11,32890,39001,14,102,1.1858011553663728
Project i,2023-10-08,2024-04-21,27299,27035,14,196,0.9903293160921646
Project j,2023-10-15,2023-12-01,48585,45387,7,47,0.9341772151898734
Project k,2023-10-22,2024-03-31,48689,51844,8,161,1.0647990305818562
Project l,2023-10-29,2024-02-24,47557,50677,5,118,1.065605483945581
Project m,2023-11-05,2024-02-02,49020,50636,14,89,1.03296613627091
Project n,2023-11-12,2023-12-25,7693,16950,11,43,2.2033017028467436
Project o,2023-11-19,2023-12-27,34467,43953,7,38,1.2752197754373749
Project p,2023-11-26,2024-03-24,34723,35257,10,119,1.0153788555136365
Project q,2023-12-03,2024-02-23,8627,7688,3,82,0.8911556740465979
Project r,2023-12-10,2024-05-17,30939,37500,7,159,1.21206244545719
Project s,2023-12-17,2024-04-08,47941,56863,5,113,1.1861037525291505
Project t,2023-12-24,2024-04-23,26834,22096,14,121,0.8234329581873743
Project u,2023-12-31,2024-05-19,23047,32122,3,140,1.3937605762138239
Project v,2024-01-07,2024-02-13,31105,32392,6,37,1.0413759845683974
Project w,2024-01-14,2024-03-18,15230,24911,7,64,1.6356533158240316
Project x,2024-01-21,2024-05-10,20707,24522,9,110,1.1842372144685371
Project y,2024-01-28,2024-08-08,26976,31184,3,193,1.1559905100830368
Project z,2024-02-04,2024-04-23,49262,56097,5,79,1.1387479192887013
Project {,2024-02-11,2024-06-23,28776,36944,4,133,1.283847650820128
Project |,2024-02-18,2024-07-28,35080,32129,11,161,0.9158779931584948
Project },2024-02-25,2024-03-27,6306,6729,12,31,1.0670789724072312
Project ~,2024-03-03,2024-08-13,11776,21365,8,163,1.8142832880434783
Project ,2024-03-10,2024-06-01,32251,39166,12,83,1.214411956218412
Project ,2024-03-17,2024-07-30,14474,14022,5,135,0.9687715904380269
Project ,2024-03-24,2024-04-26,45294,43402,10,33,0.9582284629310726
Project ,2024-03-31,2024-06-22,26959,35430,10,83,1.3142178864201195
Project ,2024-04-07,2024-09-29,10530,17812,4,175,1.691547958214625
Project ,2024-04-14,2024-06-26,34320,36478,8,73,1.062878787878788
Project ,2024-04-21,2024-10-29,8748,13996,9,191,1.5999085505258346
Project ,2024-04-28,2024-06-10,36968,39368,4,43,1.0649210127677993
Project ,2024-05-05,2024-09-06,37562,35732,13,124,0.9512805494915074
Project ,2024-05-12,2024-07-28,18545,23419,12,77,1.2628201671609598
Project ,2024-05-19,2024-07-02,5663,2918,4,44,0.5152745894402261
Project ,2024-05-26,2024-08-03,39766,35920,12,69,0.9032842126439672
Project ,2024-06-02,2024-09-21,12994,12493,3,111,0.9614437432661228
Project ,2024-06-09,2024-10-27,33021,34316,10,140,1.0392174676720876
Project ,2024-06-16,2024-09-06,35303,36500,3,82,1.0339064668725038
Project ,2024-06-23,2024-08-15,8304,14687,11,53,1.76866570327553
Project ,2024-06-30,2024-12-30,44353,49241,13,183,1.1102067503889252
Project ,2024-07-07,2024-12-07,22675,29858,8,153,1.3167805953693494
Project ,2024-07-14,2024-09-22,49417,57332,9,70,1.1601675536758604
Project ,2024-07-21,2025-01-23,28938,36812,12,186,1.2720989702121777
Project ,2024-07-28,2024-09-10,28664,25312,9,44,0.8830588891989952
Project ,2024-08-04,2024-10-17,6636,7175,12,74,1.0812236286919832
Project ,2024-08-11,2024-11-13,25080,29717,5,94,1.1848883572567783
Project ,2024-08-18,2024-12-14,32728,31927,4,118,0.9755255438768028
Project ,2024-08-25,2024-12-03,31736,38851,11,100,1.2241933450970506
Project ,2024-09-01,2024-10-09,33673,37118,10,38,1.1023074867104208
Project ,2024-09-08,2025-01-03,42505,48880,14,117,1.149982355017057
Project ,2024-09-15,2025-02-20,5854,3411,12,158,0.5826785104202254
Project ,2024-09-22,2025-03-06,29548,30140,9,165,1.0200351969676458
Project ,2024-09-29,2024-12-30,43623,38721,11,92,0.8876280861013686
Project ,2024-10-06,2025-03-23,12392,9592,6,168,0.7740477727566172
Project ,2024-10-13,2025-01-31,26556,35728,6,110,1.345383340864588
Project ,2024-10-20,2025-04-03,43559,41520,3,165,0.9531899263068482
Project  ,2024-10-27,2025-05-07,31309,40516,10,192,1.2940687981091699
Project ¡,2024-11-03,2025-05-14,26919,26892,14,192,0.9989969909729187
Project ¢,2024-11-10,2025-01-11,9931,9364,5,62,0.9429060517571242
Project £,2024-11-17,2025-04-18,37970,44939,9,152,1.1835396365551751
Project ¤,2024-11-24,2024-12-28,49215,47084,14,34,0.9567001930305801
